sentiment,text,clean_text,vader_pred,vader_pred_binary,roberta_pred,roberta_pred_binary
negative,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",awww that s a bummer you shoulda got david carr of third day to do it d,negative,negative,negative,negative
negative,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,is upset that he can t update his facebook by texting it and might cry as a result school today also blah,negative,negative,negative,negative
negative,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,i dived many times for the ball managed to save 50 the rest go out of bounds,positive,positive,neutral,negative
negative,my whole body feels itchy and like its on fire ,my whole body feels itchy and like its on fire,negative,negative,negative,negative
negative,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",no it s not behaving at all i m mad why am i here because i can t see you all over there,negative,negative,negative,negative
negative,@Kwesidei not the whole crew ,not the whole crew,neutral,negative,neutral,negative
negative,Need a hug ,need a hug,positive,positive,neutral,negative
negative,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",hey long time no see yes rains a bit only a bit lol i m fine thanks how s you,positive,positive,positive,positive
negative,@Tatiana_K nope they didn't have it ,nope they didn t have it,neutral,negative,negative,negative
negative,@twittera que me muera ? ,que me muera,neutral,negative,neutral,negative
negative,spring break in plain city... it's snowing ,spring break in plain city it s snowing,neutral,negative,neutral,negative
negative,I just re-pierced my ears ,i just re pierced my ears,neutral,negative,negative,negative
negative,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,i couldn t bear to watch it and i thought the ua loss was embarrassing,negative,negative,negative,negative
negative,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",it it counts idk why i did either you never talk to me anymore,negative,negative,negative,negative
negative,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",i would ve been the first but i didn t have a gun not really though zac snyder s just a doucheclown,negative,negative,negative,negative
negative,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,i wish i got to watch it with you i miss you and how was the premiere,positive,positive,neutral,negative
negative,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,hollis death scene will hurt me severely to watch on film wry is directors cut not out now,negative,negative,negative,negative
negative,about to file taxes ,about to file taxes,neutral,negative,neutral,negative
negative,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,ahh ive always wanted to see rent love the soundtrack,positive,positive,positive,positive
negative,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,oh dear were you drinking out of the forgotten table drinks,positive,positive,neutral,negative
negative,@alydesigns i was out most of the day so didn't get much done ,i was out most of the day so didn t get much done,neutral,negative,negative,negative
negative,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",one of my friend called me and asked to meet with her at mid valley today but i ve no time sigh,negative,negative,negative,negative
negative,@angry_barista I baked you a cake but I ated it ,i baked you a cake but i ated it,neutral,negative,neutral,negative
negative,this week is not going as i had hoped ,this week is not going as i had hoped,positive,positive,negative,negative
negative,blagh class at 8 tomorrow ,blagh class at 8 tomorrow,neutral,negative,neutral,negative
negative,I hate when I have to call and wake people up ,i hate when i have to call and wake people up,negative,negative,negative,negative
negative,Just going to cry myself to sleep after watching Marley and Me.  ,just going to cry myself to sleep after watching marley and me,negative,negative,neutral,negative
negative,im sad now  Miss.Lilly,im sad now miss lilly,negative,negative,negative,negative
negative,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,ooooh lol that leslie and ok i won t do it again so leslie won t get mad again,positive,positive,neutral,negative
negative,Meh... Almost Lover is the exception... this track gets me depressed every time. ,meh almost lover is the exception this track gets me depressed every time,neutral,negative,negative,negative
negative,some1 hacked my account on aim  now i have to make a new one,some1 hacked my account on aim now i have to make a new one,negative,negative,negative,negative
negative,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,i want to go to promote gear and groove but unfornately no ride there i may b going to the one in anaheim in may though,negative,negative,neutral,negative
negative,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,neutral,negative,neutral,negative
negative,@julieebaby awe i love you too!!!! 1 am here  i miss you,awe i love you too 1 am here i miss you,positive,positive,positive,positive
negative,@HumpNinja I cry my asian eyes to sleep at night ,i cry my asian eyes to sleep at night,negative,negative,negative,negative
negative,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,ok i m sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now,negative,negative,negative,negative
negative,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,ill tell ya the story later not a good day and ill be workin for like three more hours,negative,negative,negative,negative
negative,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,sorry bed time came here gmt 1,negative,negative,neutral,negative
negative,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,i don t either its depressing i don t think i even want to know about the kids in suitcases,negative,negative,negative,negative
negative,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,bed class 8 12 work 12 3 gym 3 5 or 6 then class 6 10 another day that s gonna fly by i miss my girlfriend,negative,negative,negative,negative
negative,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,really don t feel like getting up today but got to study to for tomorrows practical exam,positive,positive,negative,negative
negative,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,he s the reason for the teardrops on my guitar the only one who has enough of me to break my heart,neutral,negative,neutral,negative
negative,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",sad sad sad i don t know why but i hate this feeling i wanna sleep and i still can t,negative,negative,negative,negative
negative,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,awww i soo wish i was there to see you finally comfortable im sad that i missed it,positive,positive,negative,negative
negative,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,falling asleep just heard about that tracy girl s body being found how sad my heart breaks for that family,negative,negative,negative,negative
negative,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,yay i m happy for you with your job but that also means less time for me and you,positive,positive,positive,positive
negative,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs w bgs and uids,positive,positive,neutral,negative
negative,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,oh man was ironing s fave top to wear to a meeting burnt it,positive,positive,neutral,negative
negative,is strangely sad about LiLo and SamRo breaking up. ,is strangely sad about lilo and samro breaking up,negative,negative,negative,negative
negative,@tea oh! i'm so sorry  i didn't think about that before retweeting.,oh i m so sorry i didn t think about that before retweeting,negative,negative,negative,negative
negative,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,broadband plan a massive broken promise via www diigo com tautao still waiting for broadband we are,negative,negative,negative,negative
negative,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",wow tons of replies from you may have to unfollow so i can see my friends tweets you re scrolling the feed a lot,positive,positive,neutral,negative
negative,our duck and chicken are taking wayyy too long to hatch ,our duck and chicken are taking wayyy too long to hatch,neutral,negative,negative,negative
negative,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",put vacation photos online a few yrs ago pc crashed and now i forget the name of the site,negative,negative,negative,negative
negative,I need a hug ,i need a hug,positive,positive,neutral,negative
negative,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy,negative,negative,neutral,negative
negative,@oanhLove I hate when that happens... ,i hate when that happens,negative,negative,negative,negative
negative,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",i have a sad feeling that dallas is not going to show up i gotta say though you d think more shows would use music from the game mmm,negative,negative,negative,negative
negative,Ugh....92 degrees tomorrow ,ugh 92 degrees tomorrow,negative,negative,neutral,negative
negative,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,where did u move to i thought u were already in sd hmmm random u found me glad to hear yer doing well,positive,positive,positive,positive
negative,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",i miss my ps3 it s out of commission wutcha playing have you copped blood on the sand,positive,positive,negative,negative
negative,just leaving the parking lot of work! ,just leaving the parking lot of work,neutral,negative,neutral,negative
negative,The Life is cool. But not for Me. ,the life is cool but not for me,positive,positive,neutral,negative
negative,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",sadly though i ve never gotten to experience the post coitus cigarette before and now i never will,negative,negative,negative,negative
negative,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,i had such a nice day too bad the rain comes in tomorrow at 5am,negative,negative,positive,positive
negative,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,too bad i won t be around i lost my job and can t even pay my phone bill lmao aw shucks,positive,positive,negative,negative
negative,Damm back to school tomorrow ,damm back to school tomorrow,neutral,negative,neutral,negative
negative,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",mo jobs no money how in the hell is min wage here 4 f n clams an hour,negative,negative,negative,negative
negative,@katortiz  Not forever... See you soon!,not forever see you soon,neutral,negative,neutral,negative
negative,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",agreed i saw the failwhale allllll day today,positive,positive,neutral,negative
negative,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,oh haha dude i dont really look at em unless someone says hey i added you sorry i m so terrible at that i need a pop up,negative,negative,negative,negative
negative,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,i m sure you re right i need to start working out with you and the nikster or jared at least,positive,positive,neutral,negative
negative,i really hate how people diss my bands!  Trace is clearly NOT ugly!,i really hate how people diss my bands trace is clearly not ugly,positive,positive,negative,negative
